18305,Oh! My Lady,3.73,706,1,2010,"{10,37,18,1,6,7,31,11}",2,0,0,0,8,1,10,2,7,3
29358,Cheongdamdong Alice,3.71,697,1,2012,"{57,7,1}",0,0,0,0,9,1,10,0,7,2
5812,IRIS,4.06,690,2,2009,"{6,4,105}",0,0,0,0,7,9,0,6,9,3
43817,Oh My Ghostess,4.35,683,1,2015,"{6,7,1}",2,0,0,10,9,5,8,0,9,8
42684,Angry Mom,4.39,681,1,2015,"{6,25,10}",10,0,0,0,8,5,0,9,10,6
48216,Madame Antoine,4.02,672,1,2016,"{6,1,7}",0,0,0,0,10,2,0,4,7,2
49210,Moonlight Drawn by Clouds,4.35,640,1,2016,"{1,7,45}",1,8,10,0,7,1,8,7,9,9
38747,BTS American Hustle Life,4.58,633,1,2014,{37},8,0,0,0,10,0,0,0,7,3
29499,Panda and Hedgehog,3.59,613,1,2012,"{56,7,1}",0,0,0,0,6,0,4,2,8,4
29865,Full House 2,3.94,612,1,2012,"{7,1}",1,0,0,0,9,0,5,2,9,8
27399,the King 2 Hearts,4.17,603,1,2012,"{6,4,1,36}",0,0,0,0,10,0,0,1,5,6
34914,WIN: Who is Next?,4.4,589,1,2013,"{37,38,32}",9,0,0,0,10,0,3,0,8,5
30811,"That Winter, The Wind Blows",4.12,585,1,2013,"{7,6}",0,0,0,0,6,2,0,5,7,10
34311,Reply 1994,4.13,577,1,2013,"{1,2,6}",8,5,0,0,6,0,4,1,9,3
34032,Marry Him If You Dare,3.63,569,1,2013,"{1,7,6}",0,3,0,9,7,2,4,1,7,8
43053,Producer,3.97,566,1,2015,"{1,7,6}",1,0,0,0,10,0,3,0,9,6
36947,Gap Dong,4.23,561,1,2014,"{25,4,28,6,26}",0,1,0,0,9,10,0,10,5,9
38789,Modern Farmer,3.91,546,1,2014,"{7,32}",4,0,0,0,9,0,3,0,10,4
22772,Beethoven virus,4.07,533,1,2008,"{6,7,32,1}",2,0,0,0,10,0,2,1,9,6
30575,City Lovers,3.91,533,1,2010,"{7,1}",0,0,0,0,6,0,10,5,9,3
27287,Arang and the Magistrate,3.87,529,1,2012,"{12,7,1}",0,8,0,10,9,9,0,7,8,10
38780,She's So Lovable,3.59,527,1,2014,"{6,32,7}",0,0,0,0,9,0,8,0,9,8
42132,Unpretty Rapstar,3.97,513,3,2015,\N,8,0,0,0,10,0,3,4,8,4
2193,Full House,3.75,512,1,2004,"{1,6,7}",0,0,0,0,7,0,9,1,8,4
1353,My Girl,3.93,510,1,2005,"{1,7}",0,0,0,0,3,6,10,0,4,9
49029,Entertainer,4.05,505,1,2016,"{6,7,1}",3,0,0,0,10,0,2,0,9,5
26121,The Greatest Love,4.11,499,1,2011,"{7,6,1}",0,0,0,0,8,0,3,1,7,7
42191,Dream Knight,3.96,497,1,2015,"{6,32}",7,0,0,0,9,0,10,1,9,6
50792,Shopping King Louie,4.3,495,1,2016,"{7,1,6}",0,0,0,0,7,8,10,0,9,9
35596,WINNER TV,4.6,490,1,2013,"{37,1}",6,0,0,0,10,0,2,1,9,5
49913,Jealousy Incarnate,4.27,478,1,2016,"{1,6,7}",0,0,0,0,9,0,9,0,10,1
39169,MIX & MATCH,4.39,475,1,2014,"{38,32,96,37}",6,0,0,0,10,0,2,1,9,5
44980,Answer Me 1988,4.6,471,1,2015,"{6,7,1}",8,0,0,0,7,0,2,1,10,5
36060,Cunning Single Lady,3.91,465,1,2014,"{1,7}",0,0,0,0,8,0,3,0,6,8
48490,"Come Back, Mister",4.14,464,1,2016,"{6,1}",0,0,0,10,7,6,3,7,9,10
49060,Lucky Romance,4.12,461,1,2016,"{1,6,7}",0,0,0,0,8,0,10,0,9,4
