,X[[i]]
871,32448
872,20688
873,32637
874,32447
875,25670
876,27407
877,20688
878,30494
879,35003
880,34753
881,34914
882,27488
883,7858
884,16088
885,20688
886,32637
887,32447
888,25670
889,7858
890,20688
891,32637
892,32447
893,39711
894,34626
895,16088
896,20688
897,39711
898,18508
899,30494
900,44459
901,16088
902,32448
903,20688
904,32637
905,39711
906,34626
907,20688
908,32637
909,30055
910,24329
911,34753
912,30668
913,7858
914,16088
915,20688
916,32637
917,32447
918,25670
919,16088
920,20688
921,32637
922,32447
923,25670
924,27407
925,32448
926,20688
927,39711
928,34626
929,30494
930,44459
931,20688
932,32637
933,32447
934,39711
935,27407
936,44459
937,20688
938,32637
939,39711
940,34626
941,35003
942,42768
943,7858
944,20688
945,44459
946,35003
947,49950
948,38015
949,32448
950,20688
951,32637
952,32447
953,25670
954,39711
955,20688
956,32637
957,32447
958,25670
959,39711
960,27407
961,32637
962,32447
963,39711
964,34626
965,44459
966,35003
967,20688
968,32637
969,32447
970,25670
971,39711
972,34626
973,20688
974,39711
975,34626
976,44459
977,35003
978,42768
979,16088
980,20688
981,32637
982,32447
983,25670
984,39711
985,7858
986,16088
987,32448
988,20688
989,32637
990,25670
991,7858
992,16088
993,20688
994,25670
995,39711
996,27407
997,7858
998,16088
999,32448
1000,20688
1001,25670
1002,39711
1003,20688
1004,32447
1005,39711
1006,30494
1007,44459
1008,35003
1009,20688
1010,18508
1011,44459
1012,35003
1013,39456
1014,49950
1015,30494
1016,35003
1017,42768
1018,41633
1019,38015
1020,34753
1021,20688
1022,32637
1023,32447
1024,25670
1025,39711
1026,27407
1027,20688
1028,32637
1029,32447
1030,25670
1031,39711
1032,27407
1033,7858
1034,16088
1035,32637
1036,25670
1037,39711
1038,27407
1039,32448
1040,25670
1041,30494
1042,39456
1043,49950
1044,34753
1045,20688
1046,32637
1047,44459
1048,35003
1049,42768
1050,49950
1051,7858
1052,16088
1053,20688
1054,32637
1055,32447
1056,27407
1057,7858
1058,20688
1059,32447
1060,25670
1061,27407
1062,18508
1063,7858
1064,20688
1065,32637
1066,27407
1067,18508
1068,30494
1069,32448
1070,20688
1071,25670
1072,34626
1073,35003
1074,42768
1075,20688
1076,32447
1077,39711
1078,34626
1079,30494
1080,44459
1081,16088
1082,20688
1083,32637
1084,32447
1085,25670
1086,39711
1087,20688
1088,34753
1089,34914
1090,38652
1091,35596
1092,30886
1093,27407
1094,35003
1095,42768
1096,24329
1097,47638
1098,43044
1099,20688
1100,32637
1101,32447
1102,25670
1103,39711
1104,18508
1105,7858
1106,20688
1107,32637
1108,25670
1109,39711
1110,27407
1111,7858
1112,16088
1113,32448
1114,20688
1115,25670
1116,39711
1117,20688
1118,35003
1119,34753
1120,34914
1121,38747
1122,38652
1123,7858
1124,16088
1125,32448
1126,20688
1127,32637
1128,32447
1129,20688
1130,32637
1131,32447
1132,25670
1133,39711
1134,34626
1135,16088
1136,20688
1137,32447
1138,18508
1139,44459
1140,35003
1141,35003
1142,42768
1143,34753
1144,34914
1145,38747
1146,38652
1147,7858
1148,16088
1149,32447
1150,25670
1151,39711
1152,27407
1153,20688
1154,32637
1155,32447
1156,39711
1157,34626
1158,30494
1159,32448
1160,20688
1161,32637
1162,44459
1163,35003
1164,30055
1165,20688
1166,32447
1167,39711
1168,44459
1169,39456
1170,41633
1171,32448
1172,20688
1173,32637
1174,32447
1175,25670
1176,39711
1177,20688
1178,32637
1179,32447
1180,25670
1181,39711
1182,27407
1183,32448
1184,20688
1185,39711
1186,27407
1187,34626
1188,30494
1189,7858
1190,32448
1191,32637
1192,32447
1193,25670
1194,39711
1195,20688
1196,32447
1197,30494
1198,35003
1199,38015
1200,24329
1201,16088
1202,20688
1203,25670
1204,39711
1205,27407
1206,34626
1207,20688
1208,25670
1209,39711
1210,27407
1211,34626
1212,18508
1213,32448
1214,20688
1215,32637
1216,32447
1217,39711
1218,44459
1219,20688
1220,32447
1221,18508
1222,30494
1223,35003
1224,42768
1225,20688
1226,32637
1227,32447
1228,39711
1229,34626
1230,18508
1231,32447
1232,25670
1233,39711
1234,30494
1235,49950
1236,24329
1237,20688
1238,39711
1239,34626
1240,30494
1241,35003
1242,42768
1243,20688
1244,25670
1245,39711
1246,34626
1247,18508
1248,44459
1249,7858
1250,16088
1251,32448
1252,20688
1253,32637
1254,25670
1255,7858
1256,16088
1257,20688
1258,32637
1259,25670
1260,39711
1261,32447
1262,25670
1263,39711
1264,27407
1265,34626
1266,18508
1267,20688
1268,35003
1269,42768
1270,49950
1271,24329
1272,47638
1273,7858
1274,20688
1275,35003
1276,42768
1277,24329
1278,34753
1279,7858
1280,16088
1281,32448
1282,20688
1283,32447
1284,27407
1285,20688
1286,32447
1287,25670
1288,39711
1289,27407
1290,34626
1291,7858
1292,32448
1293,20688
1294,32447
1295,25670
1296,39711
1297,7858
1298,16088
1299,32448
1300,32447
1301,25670
1302,39711
1303,32448
1304,20688
1305,32447
1306,39711
1307,30494
1308,44459
1309,32448
1310,32637
1311,32447
1312,25670
1313,39711
1314,27407
1315,7858
1316,16088
1317,32448
1318,20688
1319,32637
1320,32447
1321,20688
1322,32447
1323,39711
1324,27407
1325,30494
1326,44459
1327,7858
1328,16088
1329,32448
1330,20688
1331,32637
1332,32447
1333,32448
1334,20688
1335,32637
1336,32447
1337,25670
1338,27407
1339,20688
1340,35003
1341,42768
1342,49950
1343,24329
1344,47638
1345,7858
1346,32637
1347,32447
1348,25670
1349,39711
1350,18508
1351,20688
1352,25670
1353,30494
1354,44459
1355,35003
1356,41633
1357,32448
1358,20688
1359,32637
1360,32447
1361,25670
1362,39711
1363,7858
1364,16088
1365,32448
1366,20688
1367,32447
1368,25670
1369,16088
1370,20688
1371,32637
1372,32447
1373,25670
1374,39711
1375,32637
1376,32447
1377,25670
1378,39711
1379,27407
1380,34626
1381,32637
1382,27407
1383,34626
1384,18508
1385,30494
1386,39456
1387,20688
1388,32637
1389,32447
1390,39711
1391,34626
1392,30494
1393,20688
1394,39711
1395,30494
1396,44459
1397,35003
1398,42768
1399,7858
1400,16088
1401,32637
1402,25670
1403,34626
1404,18508
1405,7858
1406,20688
1407,32637
1408,32447
1409,25670
1410,39711
1411,20688
1412,25670
1413,39711
1414,27407
1415,30494
1416,44459
1417,7858
1418,16088
1419,20688
1420,32637
1421,32447
1422,25670
1423,32448
1424,25670
1425,39711
1426,18508
1427,30494
1428,44459
1429,25670
1430,34626
1431,42768
1432,39456
1433,47638
1434,34753
1435,20688
1436,39711
1437,44459
1438,35003
1439,42768
1440,39456
1441,7858
1442,16088
1443,32448
1444,32447
1445,25670
1446,27407
1447,16088
1448,32448
1449,32637
1450,32447
1451,39711
1452,30494
1453,7858
1454,20688
1455,32447
1456,25670
1457,39711
1458,27407
1459,44459
1460,42684
1461,48185
1462,30886
1463,45425
1464,42125
1465,7858
1466,16088
1467,32448
1468,20688
1469,32637
1470,25670
1471,20688
1472,32447
1473,34626
1474,35003
1475,42768
1476,49950
1477,16088
1478,20688
1479,32637
1480,25670
1481,27407
1482,18508
1483,7858
1484,32448
1485,20688
1486,32637
1487,32447
1488,25670
1489,32448
1490,20688
1491,32637
1492,32447
1493,39711
1494,34626
1495,7858
1496,16088
1497,20688
1498,32637
1499,39711
1500,27407
1501,39711
1502,35003
1503,42768
1504,38015
1505,24329
1506,43044
1507,20688
1508,32637
1509,18508
1510,34753
1511,30668
1512,11579
1513,16088
1514,20688
1515,25670
1516,39711
1517,27407
1518,30494
1519,32637
1520,25670
1521,30494
1522,35003
1523,24329
1524,34753
1525,20688
1526,24329
1527,34753
1528,11579
1529,34914
1530,17306
1531,32448
1532,20688
1533,39711
1534,44459
1535,35003
1536,42768
1537,32448
1538,20688
1539,32637
1540,32447
1541,39711
1542,34626
1543,16088
1544,20688
1545,32637
1546,32447
1547,25670
1548,39711
1549,20688
1550,25670
1551,39711
1552,18508
1553,44459
1554,35003
1555,20688
1556,30494
1557,35003
1558,42768
1559,24329
1560,34753
1561,7858
1562,20688
1563,32637
1564,32447
1565,25670
1566,39711
1567,16088
1568,20688
1569,27407
1570,35003
1571,42768
1572,24329
1573,7858
1574,16088
1575,32448
1576,20688
1577,32637
1578,32447
1579,20688
1580,32637
1581,25670
1582,18508
1583,30494
1584,35003
1585,20688
1586,32447
1587,39711
1588,18508
1589,30494
1590,35003
1591,39711
1592,27407
1593,39456
1594,49950
1595,38015
1596,47638
1597,20688
1598,32637
1599,32447
1600,39711
1601,34626
1602,30494
1603,16088
1604,32448
1605,20688
1606,32637
1607,32447
1608,39711
1609,20688
1610,34626
1611,30494
1612,35003
1613,24329
1614,34753
1615,27407
1616,30494
1617,35003
1618,38015
1619,47638
1620,11579
1621,32448
1622,20688
1623,32637
1624,25670
1625,27407
1626,35003
1627,20688
1628,32447
1629,39711
1630,30494
1631,44459
1632,35003
1633,7858
1634,32637
1635,32447
1636,39711
1637,34626
1638,18508
1639,7858
1640,16088
1641,20688
1642,32637
1643,32447
1644,25670
1645,7858
1646,16088
1647,32637
1648,32447
1649,25670
1650,39711
1651,32637
1652,32447
1653,39711
1654,30494
1655,44459
1656,35003
1657,16088
1658,32448
1659,20688
1660,32637
1661,39711
1662,27407
1663,7858
1664,16088
1665,32448
1666,20688
1667,32637
1668,32447
1669,27407
1670,18508
1671,44459
1672,42768
1673,49950
1674,41633
1675,16088
1676,32637
1677,32447
1678,39711
1679,27407
1680,34626
1681,32448
1682,20688
1683,32637
1684,32447
1685,39711
1686,34626
1687,7858
1688,20688
1689,32447
1690,39711
1691,34626
1692,18508
1693,16088
1694,20688
1695,32637
1696,32447
1697,25670
1698,39711
1699,20688
1700,32447
1701,39711
1702,30494
1703,44459
1704,35003
1705,20688
1706,39711
1707,30494
1708,44459
1709,35003
1710,42768
1711,34753
1712,38747
1713,38756
1714,48185
1715,42125
1716,49199
1717,32637
1718,32447
1719,25670
1720,39711
1721,34626
1722,18508
1723,32448
1724,39711
1725,35003
1726,42768
1727,39456
1728,47638
1729,7858
1730,16088
1731,32448
1732,32637
1733,32447
1734,25670
1735,20688
1736,32637
1737,32447
1738,39711
1739,27407
1740,34626
1741,7858
1742,16088
1743,32448
1744,20688
1745,32637
1746,32447
1747,35003
1748,34753
1749,38747
1750,38652
1751,38756
1752,48185
1753,7858
1754,16088
1755,20688
1756,32447
1757,39711
1758,27407
1759,32447
1760,25670
1761,39711
1762,27407
1763,34626
1764,30494
1765,7858
1766,16088
1767,32448
1768,20688
1769,32637
1770,32447
1771,20688
1772,32447
1773,39711
1774,18508
