30120	Tree With Deep Roots	4.32	60	1	2011	{45,6}
30210	Breathless	2	6	1	2003	{6}
30225	Love in Heaven	5	5	1	2005	{7,6}
30333	7th Grade Civil Servant	3.81	364	1	2013	{1,105,7,4}
30431	Sirius	3.95	56	1	2013	{10,28,6}
30476	It's Alright, Daddy's Daughter	4.17	31	1	2010	{10,6}
30494	A Gentleman's Dignity	4.47	1308	1	2012	{7,6,1}
30501	Padam Padam: The Sound of His and Her Heartbeats	3.94	104	1	2011	{7,12}
30503	Rose Fence	5	2	1	2003	{6}
30546	Shining Inheritance	3.97	281	1	2009	{1,6,7,10}
30575	City Lovers	3.91	533	1	2010	{7,1}
30577	Love and Ambition	5	3	1	2006	{6}
30586	Family Honor	4.45	16	1	2008	{10,7}
30668	Personal Taste	4.03	2729	1	2010	{6,1,7}
30701	Hateful But Once Again	3.57	12	1	2009	{7,6}
30745	The World That They Live In	3.95	72	1	2008	{6,7}
30786	Damo	3.67	9	1	2003	{28,45,7}
30788	Can You Hear My Heart?	3.97	170	1	2011	{10,7,6}
30811	That Winter, The Wind Blows	4.12	585	1	2013	{7,6}
30818	Ad Genius Lee Tae Baek	3.5	56	1	2013	{1,6,7}
30819	Queen of Ambition	3.74	111	1	2013	{31,36,6,7}
30820	Nine: Nine Time Travels	4.02	224	1	2013	{7,6}
30886	Explorers Of The Human Body	4.48	259	1	2007	{1,33,43}
30903	Superstar K	4.43	19	3	2009	{38,11,32}
30964	Ruler of Your Own World	4	4	1	2002	{6}
31075	Lovers in Paris	3.36	24	1	2004	{6}
31199	Sunflower	0	2	1	1998	{6}
31205	One Million Roses	5	3	1	2003	{6}
31214	Forever Yours	3	3	1	1998	{6}
31360	Ta-Dah! It's B.A.P	4.19	162	1	2012	{54,1}
31515	Escape From Unemployment	5	3	1	2003	{6}
31567	The Truth	4	5	1	2000	{6}
31588	Vampire idol	3.87	134	1	2011	{1,12}
31591	Protect the Boss	3.85	886	1	2011	{7,6,1}
31592	Can We Get Married?	3.41	71	1	2012	{7,6,10}
31599	Me Too, Flower	3.87	831	1	2011	{7}
31608	INFINITE's Ranking King	4.48	219	1	2012	{37,1}
31611	Robber	3.6	10	1	2008	{1,7}
31612	Shinhwa Broadcast	4.65	78	2	2012	{1,37}
31625	Come on over	4.56	19	1	2012	{37,32}
31626	All About Eve	4	6	1	2000	{6}
31633	Baby-faced Beauty	3.37	119	1	2011	{7,1,6}
31656	Swan Lake	5	2	1	2003	{6}
31666	Terms of Endearment	5	2	1	2004	{6}
31761	Gu Family Book	4.31	886	1	2013	{25,7,45,6,28}
31762	B.A.P's Killing Camp	4.38	190	1	2012	{37,1}
31878	Pasta	4.1	253	1	2010	{56,6,7}
31966	Hello, Francesca	4	6	3	2005	{30,6,1}
32055	Us & Them	3.32	138	1	2014	{1}
32065	Family Outing	4.47	148	2	2008	{1}
32116	Take Care of Agasshi /My Fair Lady	3.71	219	1	2009	{1,7}
32181	A Man Called God	4	39	1	2010	{4,6,28,7}
32184	Come Back Soon-ae!	3	4	1	2006	{6}
32196	Ojakkyo Brothers	3.89	79	1	2011	{7,10}
32208	Infinite Challenge	4.56	192	4	2005	{1}
32261	My Lovely Fool	3	3	1	2006	{6}
32295	Medical Center (KR)	0	3	1	2000	{6}
32342	Star's Lovers	3.5	14	1	2008	{7}
32345	You're the Best, Lee Soon Shin	3.7	175	1	2013	{10,1}
32354	Nail Salon Paris	3.42	399	1	2013	{1,57,7}
32356	Monstar	3.79	1660	1	2013	{32,6,7}
32397	Shooting the Star	0	4	1	2002	{6}
32416	Lovers in Prague	4.81	63	1	2005	{6}
32418	Warrior Baek Dong Soo	4.16	179	1	2011	{6,4}
32419	My Shining Girl	3.45	438	1	2012	{6,7,1}
32444	The Queen's Classroom	4.18	133	1	2013	{18,2,6,1}
32446	Two Weeks	4.21	257	1	2013	{28,6,4,26}
32447	The Master's Sun	4.54	2491	1	2013	{30,12,26,6,7,1}
32448	The Heirs	4.23	5268	1	2013	{6,7,1}
32457	The Goddess of Fire, Jung-Yi	3.81	107	1	2013	{45,7}
32458	Scandal (SK)	4.11	112	1	2013	{7,28,6}
32475	SHINee One Fine Day	4.66	186	1	2013	{37,50}
32497	Honesty	3.33	5	1	2000	{6}
32498	Last Scandal	3.5	19	1	2008	{6,1,7}
32507	Inspector Park Moon Soo	5	3	1	2002	{6}
32513	9 End 2 Outs	4.03	58	1	2007	{1,7,6}
32516	Incarnation of Money	4	54	1	2013	{6}
32517	Cruel City	4.46	328	1	2013	{7,6,26,4,28}
32630	She Is Cool!	5	3	1	2003	{6}
32634	More Beautiful Than a Flower	3.5	4	1	2004	{6,7}
32637	I Hear Your Voice	4.48	2560	1	2013	{7,26,25,12,6}
32738	Her Legend	3.73	82	1	2013	{6,7}
32739	Who Are You?	3.99	902	1	2013	{26,25,7}
32740	Green Scalpel	4.37	288	1	2013	{35,7,6}
32742	The Blade and Petal	3.1	68	1	2013	{7,6,4,45}
32786	Ice Flower	5	3	1	2002	{6}
32858	Barefoot Friends	3.69	135	1	2013	{50,37,1}
32878	Она - просто нечто / She is WOW	3.3	130	1	2013	{1,6,7,28}
32887	Huh Joon	3.5	4	1	1999	{6}
32909	Tomato	4	3	1	2002	{6}
32910	Star in My Heart	4	13	1	1997	{6}
32945	The Painter of the Wind	4.02	110	1	2008	{45,6,7}
32946	The Gumiho's Revenge	3.91	24	1	2010	{7,6,25,26}
32955	Miss Ripley	3.5	74	1	2011	{6,7}
33059	You Are My Oppa	3.96	113	1	2010	{1,37,34}
33062	The Bad Housewife	2	3	1	2005	{6}
33131	Jang Ok Jung, Living in Love	4.23	171	1	2013	{6,7,45}
33144	What Happened on Island?	0	3	1	2004	{6}
33233	Super Rookie	3	5	1	2005	{97,6}
33324	Country Princess	4	3	1	2003	{6}
33387	Temptation of an Angel	3.33	8	1	2009	{7,6}
33424	Man of the Sun, Lee Je-ma	5	2	1	2002	{6}
33434	Агентство "Сирано" / Dating Agency: Cyrano	3.74	436	1	2013	{7,1}
33466	My Love (2006)	4	3	1	2006	{6}
33468	Side Street People	5	3	1	2002	{10,6}
33519	Bridal Mask	4.1	179	1	2012	{4,45,6}
33618	Screen	0	2	1	2003	{6}
33636	HIT	4	8	1	2007	{28,6,4}
33725	Good Bye, Solo	4	4	1	2006	{6}
33729	Yoo-ryeong	4.46	119	1	2012	{36,6,28,4}
33730	When a Man Loves	3.64	176	1	2013	{7,6}
33792	Yi San	4	9	1	2007	{7,6,45}
33883	Heroes (영웅호걸)	4.22	43	1	2010	{1}
33915	Operation Proposal	3.52	131	1	2012	{7,6,12}
33931	I need romance 2012	3.72	205	1	2012	{6,7}
33951	A Hundred Year’s Inheritance	4.25	15	1	2013	{10,6,7}
33984	Secret Love	4.28	715	1	2013	{28,6,32,26,7}
34013	Dr. Gang	3.5	4	1	2006	{6}
34017	I need romance	3.8	256	1	2011	{6,7,1}
34021	Powerful Opponents	4.12	28	1	2008	{6,7}
34025	The Secret Angel	3.55	156	1	2012	{7,6,1,12,25}
34032	Marry Him If You Dare	3.63	569	1	2013	{1,7,6}
34033	Medical Top Team	4.06	195	1	2013	{35,7}
34034	Cheo Yong	3.8	143	2	2014	{26,30,28,4}
34035	Passionate Love	3.5	36	1	2013	{10,7,6}
34042	My Daughter Seo Yeong	4.14	35	1	2012	{6,7,10}
34067	The King’s Woman	5	3	1	2003	{6}
34074	Suspicious Housekeeper	3.96	106	1	2013	{6}
34075	Waiting for Love	4.03	110	1	2013	{7,6}
34226	God's Quiz	4.49	180	4	2010	{35,25,28}
34257	On the Prairie	0	3	1	2003	{6}
34272	City Hall (2009)	4.08	104	1	2009	{7}
34305	Guardian Angel	3	4	1	2001	{6}
34311	Reply 1994	4.13	577	1	2013	{1,2,6}
34325	Love is All Around	4	3	1	2004	{6}
34586	Empress Ki	4.55	968	1	2013	{45,4,6,36,7}
34588	High Kick! The Revenge of the Short Legged	4.15	46	1	2011	{1,10,7}
34599	Fashion King	3.24	271	1	2012	{7,6}
34605	Golden Rainbow	3.92	97	1	2013	{7,6,10}
34606	Bel Ami	3.57	1036	1	2013	{1,7,6}
34609	Age of feeling: Inspiring generation	3.8	211	1	2014	{6,36,4,45,7}
34622	Miss Korea	3.43	246	1	2013	{7,6}
34623	The Prime Minister and I	3.76	448	1	2013	{10,7,1}
34624	The Woman Who Married Three Times	3.25	15	1	2013	{7,10}
34625	Melody of Love	4.1	30	1	2013	{10,7}
34626	Man from the Stars	4.37	2689	1	2013	{12,25,7}
34634	High Kick Through the Roof	4.21	69	1	2009	{1,7}
34638	Hold My Hand	0	3	1	2013	{7,10,6}
34639	Unemployed Romance	2.95	39	1	2013	{1,7}
34645	King's Daughter, Soo Baek Hyang	4.2	37	1	2013	{36,6,7,45,10}
34646	Your Neighbor's Wife	1	5	1	2013	{1,7,10,25}
34647	Basketball (2013)	4	41	1	2013	{6,4,44,7,45}
34753	Weekly Idol (주간 아이돌)	4.61	877	1	2011	{37,1}
34786	Ugly Alert	4.06	35	1	2013	{10,6,7}
34788	Mamma Mia (맘마미아)	3.75	25	1	2013	{37,1}
34839	Conspiracy in the Court	3.5	6	1	2007	{6,45}
34877	King of Baking, Kim Tak Goo	4.15	176	1	2010	{7,113,6,10}
34914	WIN: Who is Next?	4.4	589	1	2013	{37,38,32}
34919	Phantom	4.35	222	1	2012	{6,25}
35003	Exo Showtime	4.45	1155	1	2013	{37,32}
35019	Cain and Abel	4.09	82	1	2009	{7,6,4,35}
35052	One Well-Raised Daughter	3.81	142	1	2013	{7,10}
35204	Let's Eat	4.21	262	2	2013	{6,1,7}
35205	Sandglass	4.4	15	1	1995	{6}
35342	Gloria (Geulroria)	3.57	12	1	2010	{6,7,10}
35348	Jungle Fish 2	3.96	44	1	2010	{2,6}
35352	Hello Baby	4.2	157	7	2009	{10,1,18,37}
35443	K-pop Star	4.16	179	4	2011	\N
35596	WINNER TV	4.6	490	1	2013	{37,1}
35619	Emergency Man and Woman	4.21	1448	1	2014	{7,1,35}
35653	I Need Romance 3	4.14	312	1	2014	{6,7,1}
35657	Take Care of Us, Captain	3.88	47	1	2012	{7,6,50}
35658	Romance Town	3.5	24	1	2011	{1,6,7}
35697	Real Experience Project: The Human Condition	3	6	2	2012	{10,34}
35706	A Little Love Never Hurts	4.5	7	1	2013	{7,10}
35725	The thousandth man	3.51	136	1	2012	{6,12,7}
35739	The Man Who Can't Get Married	4.05	45	1	2009	{6,7,1}
35755	Billie Jean, Look at Me	3.5	5	1	2006	{6}
35840	Cool Kiz On The Block	3.56	25	1	2013	{10,37,44,1}
35861	Special Affairs Team TEN	4.15	97	2	2011	{4,26,28}
35873	Sweet Bear	5	3	1	2001	{6}
35881	A Delicious Proposal	4	6	1	2001	{6,56,7}
35927	Water Flower	0	4	1	2004	{6,10}
35967	MTV Diary BtoB	4.45	55	1	2012	{37}
35973	You're Only Mine	3	6	1	2014	{6,7,10}
35987	Can We Love?	4.13	27	1	2014	{7,10,1}
35988	Shining Romance	0	2	1	2013	{7,10}
35989	One Warm Word	3.18	27	1	2013	{6,26,10,7,25}
36000	Jeong Do Jeon	0	7	1	2014	{36,45,26,6,4}
36023	My name is Kim Sam Soon	4.04	82	1	2005	{7,1,6}
36038	Beyond the Clouds	3.71	38	1	2014	{6,26,4,7,28}
36044	The Bean Chaff of My Life	4.5	3	1	2003	{6}
36054	Angel's Revenge	3.6	17	1	2014	{10,6,7}
36055	God's Gift - 14 Days	4.55	248	1	2014	{26,6}
36056	Mimi	3.78	162	1	2014	{7}
36057	Bride of the Century	4.17	1394	1	2014	{10,6,7,12}
36058	Wonderful Days	4.08	34	1	2014	{7,6,10}
36059	Her Lovely Heels	3.48	225	1	2014	{7}
36060	Cunning Single Lady	3.91	465	1	2014	{1,7}
36061	Three Days	3.94	148	1	2014	{26,7,36,25,28,4}
36099	Adolescence Medley	3.75	83	1	2013	{7,6,1}
36104	Love Truly	4.5	7	1	2006	{6,1}
36121	Cinderella's Stepsister	3.76	304	1	2010	{6,7}
