;dorama_id;dorama_title;overall_rating;watching;seasons;year;genres;Type;doramatv
81;50522;The K2;4,19;753;1;2016;{6,4};1;http://doramatv.ru/the_k2
82;34586;Empress Ki;4,55;968;1;2013;{45,4,6,36,7};1;http://doramatv.ru/empress_ki
83;30067;Missing You (2012);3,95;745;1;2012;{6};1;http://doramatv.ru/i_miss_you
84;37510;Roommate ;4,27;762;2;2014;{37,2,76,32};0;http://doramatv.ru/roommate__tv_show
85;50358;Hwarang;4,56;863;1;2016;{6,45,7};1;http://doramatv.ru/hwarang
86;33984;Secret Love;4,28;715;1;2013;{28,6,32,26,7};1;http://doramatv.ru/secret__2013
87;38652;Show Me The Money (KR);4,4;752;4;2014;{37,32,96};0;http://doramatv.ru/show_me_the_money
88;42718;The Lover;4,21;874;1;2015;{1,7};1;http://doramatv.ru/the_lover
89;43817;Oh My Ghostess;4,35;683;1;2015;{6,7,1};1;http://doramatv.ru/oh_my_ghost
90;26740;Lie to Me;3,86;711;1;2011;{1,7,6};1;http://doramatv.ru/try_lying_to_me
91;29358;Cheongdamdong Alice;3,71;697;1;2012;{57,7,1};1;http://doramatv.ru/cheongdamdong_alice
92;18305;Oh! My Lady;3,73;706;1;2010;{10,37,18,1,6,7,31,11};1;http://doramatv.ru/oh_my_lady
93;48216;Madame Antoine;4,02;672;1;2016;{6,1,7};1;http://doramatv.ru/madame_antoine
94;42684;Angry Mom;4,39;681;1;2015;{6,25,10};1;http://doramatv.ru/angry_mom
95;38787;Liar Game (SK);4,28;734;1;2014;{25};1;http://doramatv.ru/liar_game__korea
96;49210;Moonlight Drawn by Clouds;4,35;640;1;2016;{1,7,45};1;http://doramatv.ru/moonlight_drawn_by_clouds
97;29865;Full House 2;3,94;612;1;2012;{7,1};1;http://doramatv.ru/full_house_2
98;27399;the King 2 Hearts;4,17;603;1;2012;{6,4,1,36};1;http://doramatv.ru/the_king_2_hearts
99;29499;Panda and Hedgehog;3,59;613;1;2012;{56,7,1};1;http://doramatv.ru/panda_and_hedgehog
100;38788;Bad Guys;4,28;707;1;2014;{26,4,28};1;http://doramatv.ru/bad_guys
101;34914;WIN: Who is Next?;4,4;589;1;2013;{37,38,32};0;http://doramatv.ru/win__who_is_next
102;38747;BTS American Hustle Life;4,58;633;1;2014;{37};0;http://doramatv.ru/m_net__bts_american_hustle_life
103;30811;That Winter, The Wind Blows;4,12;585;1;2013;{7,6};1;http://doramatv.ru/that_winter__the_wind_blows
104;5812;IRIS;4,06;690;2;2009;{6,4,105};1;http://doramatv.ru/iris
105;43053;Producer;3,97;566;1;2015;{1,7,6};1;http://doramatv.ru/producer
106;34311;Reply 1994;4,13;577;1;2013;{1,2,6};1;http://doramatv.ru/reply_1994
107;34032;Marry Him If You Dare;3,63;569;1;2013;{1,7,6};1;http://doramatv.ru/the_choice_of_the_future
108;36947;Gap Dong;4,23;561;1;2014;{25,4,28,6,26};1;http://doramatv.ru/gap_dong
109;38789;Modern Farmer;3,91;546;1;2014;{7,32};1;http://doramatv.ru/modern_farmer
110;38780;She's So Lovable;3,59;527;1;2014;{6,32,7};1;http://doramatv.ru/too_lovely_girl_for_me
111;27287;Arang and the Magistrate;3,87;529;1;2012;{12,7,1};1;http://doramatv.ru/arang_and_the_magistrate
112;49029;Entertainer;4,05;505;1;2016;{6,7,1};1;http://doramatv.ru/entertainer
113;30575;City Lovers;3,91;533;1;2010;{7,1};1;http://doramatv.ru/the_city_of_lovers
114;26121;The Greatest Love;4,11;499;1;2011;{7,6,1};1;http://doramatv.ru/the_greatest_love
115;35596;WINNER TV;4,6;490;1;2013;{37,1};0;http://doramatv.ru/winner__tv
116;50792;Shopping King Louie;4,3;495;1;2016;{7,1,6};1;http://doramatv.ru/shopping_king_louie
117;42191;Dream Knight;3,96;497;1;2015;{6,32};1;http://doramatv.ru/dream_knight
118;42132;Unpretty Rapstar;3,97;513;3;2015;\N;0;http://doramatv.ru/unpretty_rapstar
119;49913;Jealousy Incarnate;4,27;478;1;2016;{1,6,7};1;http://doramatv.ru/jealousy_incarnate
120;39169;MIX & MATCH;4,39;475;1;2014;{38,32,96,37};0;http://doramatv.ru/mix___match
121;2193;Full House;3,75;512;1;2004;{1,6,7};1;http://doramatv.ru/full_house
122;1353;My Girl;3,93;510;1;2005;{1,7};1;http://doramatv.ru/my_girl
123;48490;Come Back, Mister;4,14;464;1;2016;{6,1};1;http://doramatv.ru/come_back_mister
124;38413;My Secret Hotel;3,7;458;1;2014;{25,1,7};1;http://doramatv.ru/my_secret_hotel
125;44980;Answer Me 1988;4,6;471;1;2015;{6,7,1};1;http://doramatv.ru/reply_1988
126;49060;Lucky Romance;4,12;461;1;2016;{1,6,7};1;http://doramatv.ru/lucky_romance
127;49322;Beautiful Gong Shim;4,04;461;1;2016;{6,7,1};1;http://doramatv.ru/beautiful_gong_shim
128;36060;Cunning Single Lady;3,91;465;1;2014;{1,7};1;http://doramatv.ru/cunning_single_lady
129;32419;My Shining Girl;3,45;438;1;2012;{6,7,1};1;http://doramatv.ru/she_s_completely_insane
130;34623;The Prime Minister and I;3,76;448;1;2013;{10,7,1};1;http://doramatv.ru/the_prime_minister_and_i
131;33434;Dating Agency: Cyrano;3,74;436;1;2013;{7,1};1;http://doramatv.ru/dating_agency__cyrano
132;43755;The Time We Were Not in Love;3,94;438;1;2015;{6,7};1;http://doramatv.ru/the_time_we_were_not_in_love
133;20531;We Got Married ;4,16;456;4;2008;{37,1,34,7};0;http://doramatv.ru/list/person/we_got_married
134;29494;The King of Dramas;4;441;1;2012;{7,1,6};1;http://doramatv.ru/the_king_of_dramas
135;43858;Scholar Who Walks the Night;3,96;435;1;2015;{45,7,12};1;http://doramatv.ru/scholar_who_walks_the_night
136;22772;Beethoven virus;4,07;533;1;2008;{6,7,32,1};1;http://doramatv.ru/beethoven_virus
137;38756;Rookie King Channel Bangtan - Bangtan Boys;4,58;445;1;2013;{37};0;http://doramatv.ru/rookie_king_bangtan_boys___channel_bangtan
138;36310;Hotel King;3,83;428;1;2014;{6};1;http://doramatv.ru/hotel_king
139;43084;Ex-Girlfriend Club;3,96;416;1;2015;{7,1};1;http://doramatv.ru/ex_girlfriend_club
140;29692;My Princess;3,77;405;1;2011;{1,6,7};1;http://doramatv.ru/my_princess
141;32354;Nail Salon Paris;3,42;399;1;2013;{1,57,7};1;http://doramatv.ru/nail_salon_paris
142;43382;Mask;4,09;383;1;2015;{7,6};1;http://doramatv.ru/mask 
143;44117;Yong Pal;3,97;380;1;2015;{35,6};1;http://doramatv.ru/yong_pal
144;36954;A Witch's Love;4,07;378;1;2014;{1,7};1;http://doramatv.ru/witch_s_romance
145;48412;Page Turner;4,46;377;1;2016;{6,32};1;http://doramatv.ru/page_turner
146;43222;Warm and Cozy;4,08;367;1;2015;{6,7};1;http://doramatv.ru/warm_and_cozy
147;38019;Iron Man;3,39;365;1;2014;{7,6,12};1;http://doramatv.ru/iron_man
148;30333;7th Grade Civil Servant;3,81;364;1;2013;{1,105,7,4};1;http://doramatv.ru/7th_grade_civil_servant
149;51798;First Kiss for the Seventh Time;3,67;361;1;2016;{7,6};1;http://doramatv.ru/first_kiss_for_the_seventh_time
150;25603;Spy Myung Wol;3,99;356;1;2011;{1,7};1;http://doramatv.ru/myung_wol_the_spy
151;42672;Falling for Innocence;4,16;356;1;2015;{7,1,6};1;http://doramatv.ru/fall_in_love_with_soon_jung
152;44458;D-Day;4,35;358;1;2015;{35,6};1;http://doramatv.ru/d_day
153;29516;Vampire Prosecutor;4,07;406;2;2011;{28,6,12,25};1;http://doramatv.ru/vampire_prosecutor
154;48213;Signal;4,72;424;1;2016;{28,26};1;http://doramatv.ru/signal
155;51029;Sweet Stranger and Me;3,84;331;1;2016;{6,7,1};1;http://doramatv.ru/the_man_living_at_my_house
156;39127;Pride and Prejudice (KR);3,8;345;1;2014;{7,6};1;http://doramatv.ru/pride_and_prejudice
157;49986;Age of Youth;4,73;359;1;2016;{6,7,1};1;http://doramatv.ru/age_of_youth
158;45397;Remember - War of the Son;4,22;318;1;2015;{6,26};1;http://doramatv.ru/remember___war_of_the_son
159;52096;Missing Nine;4,23;328;1;2017;{5,26,6};1;http://doramatv.ru/missing_9
160;35653;I Need Romance 3;4,14;312;1;2014;{6,7,1};1;http://doramatv.ru/i_need_romance_3
161;48383;Vampire Detective;3,94;364;1;2016;{12,28,6};1;http://doramatv.ru/vampire_detective
162;6509;Iljimae;4,4;339;1;2008;{45};1;http://doramatv.ru/iljimae
163;39479;I GOT7;4,35;315;1;2014;{2,37};0;http://doramatv.ru/got7_on_v_app
164;39340;Non-Summit/Abnormal Summit ;4,57;343;1;2014;{1};1;http://doramatv.ru/abnormal_summit
165;41675;Heart to Heart;3,95;317;1;2015;{7,1,35};1;http://doramatv.ru/heart_to_heart
166;2796;Sorry, I Love You;4,14;343;1;2004;{6,7};1;http://doramatv.ru/i_m_sorry__i_love_you
167;37784;Trot Lovers;3,88;300;1;2014;{1,7,6,32};1;http://doramatv.ru/trot_lovers
168;47639;One More Happy Ending;4,09;305;1;2016;{7,6};1;http://doramatv.ru/one_more_happy_ending
169;36121;Cinderella's Stepsister;3,76;304;1;2010;{6,7};1;http://doramatv.ru/cinderella_s_sister
170;48225;Local Hero;3,82;301;1;2016;{1,28,4};1;http://doramatv.ru/neighborhood_s_hero
171;49453;Police Unit 38;4,06;301;1;2016;{1,6,28};1;http://doramatv.ru/38_task_force
172;49232;Mirror of the Witch;3,68;306;1;2016;{45,12,30,6,7};1;http://doramatv.ru/mirror_of_the_witch
173;50054;Entourage;3,78;295;1;2016;{1,6};1;http://doramatv.ru/entourage
174;39651;XOXO EXO;4,14;297;1;2014;{32,37};0;http://doramatv.ru/xoxo_exo
175;50412;Drinking Solo;4,3;305;1;2016;{1,6,7};1;http://doramatv.ru/drinking_solo
176;32740;Green Scalpel;4,37;288;1;2013;{35,7,6};1;http://doramatv.ru/good_doctor
177;30546;Shining Inheritance;3,97;281;1;2009;{1,6,7,10};1;http://doramatv.ru/shining_inheritance
178;32517;Cruel City;4,46;328;1;2013;{7,6,26,4,28};1;http://doramatv.ru/cruel_city
179;4893;Tree in Heaven;3,63;302;1;2006;{6};1;http://doramatv.ru/tree_of_heaven
180;22250;Scent of a Woman;4,18;278;1;2011;{6,7};1;http://doramatv.ru/scent_of_a_woman
181;24330;What's Up;4,06;288;1;2011;{6,1};1;http://doramatv.ru/what_s_up
182;14953;Hong Gil Dong;4,26;360;1;2008;{7,4,1};1;http://doramatv.ru/sharp_blade_hong_gil_dong
183;49209;Another Oh Hae Young;4,21;272;1;2016;{7,1};1;http://doramatv.ru/another_oh_hae_young
184;34599;Fashion King;3,24;271;1;2012;{7,6};1;http://doramatv.ru/fashion_king
185;45425;Splash Splash Love;4,43;264;1;2015;{7,45,6,12};1;http://doramatv.ru/splash_splash_love
186;24484;The Fugitive: Plan B;4,05;270;1;2010;{6,4,1,7};1;http://doramatv.ru/the_fugitive__plan_b
187;36316;Angel Eyes;3,89;268;1;2014;{7,35,10};1;http://doramatv.ru/angel_eyes
188;27348;The Princess' Man;4,34;272;1;2011;{45,6,7};1;http://doramatv.ru/the_princess__man
189;29498;Prosecutor Princess;3,88;260;1;2010;{7,1,28,6};1;http://doramatv.ru/prosecutor_princess
190;34017;I need romance;3,8;256;1;2011;{6,7,1};1;http://doramatv.ru/i_need_romance
191;2418;Time Between Dog and Wolf;4,05;277;1;2007;{7,4};1;http://doramatv.ru/time_of_dog_and_wolf
192;38785;Misaeng;4,39;271;1;2014;{6};1;http://doramatv.ru/incomplete_life__prequel
193;50422;Hit the Stage;4,57;251;1;2016;\N;1;http://doramatv.ru/hit_the_stage
194;26851;Time Slip Dr. Jin;3,61;257;1;2012;{35,12,45};1;http://doramatv.ru/time_slip_dr__jin
195;32446;Two Weeks;4,21;257;1;2013;{28,6,4,26};1;http://doramatv.ru/two_weeks
196;35204;Let's Eat;4,21;262;2;2013;{6,1,7};1;http://doramatv.ru/let_s_eat
197;44510;The Village: Achiara's Secret;4,06;266;1;2015;{6,26};1;http://doramatv.ru/the_village__achiara_s_secret
198;2794;A Love to Kill;3,85;262;1;2005;{4,6};1;http://doramatv.ru/a_love_to_kill
199;27513;Coffee House;3,5;262;1;2010;{31,6,7,1};1;http://doramatv.ru/coffee_house
200;44353;Twenty Again;4,19;243;1;2015;{7,1};1;http://doramatv.ru/twenty_again
